"Stock","Population","CTC_Indicator","n"
"Cali","AMERICAN_RIVER",NA,1
"Cali","BATTLE_CREEK",NA,4
"Cali","FEATHER_RIVER_FALL",NA,7
"Cali","FEATHER_RIVER_SPRING",NA,1
"Cali","MERCED_RIVER",NA,4
"ECVI","CAPILANO_RIVER",NA,3
"ECVI","CHEMAINUS_RIVER","Big Qualicum River",1
"ECVI","COWICHAN_RIVER","Cowichan",3
"ECVI","QUALICUM_RIVER","Big Qualicum River",1
"ECVI","QUATSE_RIVER","Quinsam",1
"Fall 0.3","CHILLIWACK_RIVER_fall","Chilliwack",28
"Fall 0.3","CHILLIWACK_VEDDER_RIVER","Chilliwack",3
"Fall 0.3","HARRISON_RIVER","Harrison",23
"Spring 1.x","COLDWATER_RIVER-UPPER","Nicola",1
"Spring 1.x","DEADMAN_RIVER","Nicola",1
"Spring 1.x","NICOLA_RIVER","Nicola",1
"Spring 1.x","WEST_ROAD_BLACKWATER_RIVER","Nicola",1
"Summer 0.3","ADAMS_RIVER","Shuswap",8
"Summer 0.3","LITTLE_RIVER","Shuswap",12
"Summer 0.3","SHUSWAP_RIVER-LOWER","Shuswap",4
"Summer 0.3","THOMPSON_RIVER_BELOW_KAMLOOPS_LAKE","Shuswap",14
"Summer 1.3","CARIBOO_RIVER",NA,1
"Summer 1.3","CHILKO_RIVER",NA,3
"Summer 1.3","EAGLE_RIVER",NA,1
"Summer 1.3","NECHAKO_RIVER",NA,1
"Summer 1.3","NORTH_THOMPSON_RIVER",NA,1
"Summer 1.3","RAFT_RIVER",NA,1
"Low Col.","ABERNATHY_RIVER","Lewis River Hatchery",183
"Low Col.","CLACKAMAS_RIVER","Willamette Spring Hatchery",1
"Low Col.","COWEEMAN","Coweeman Fall",4
"Low Col.","COWLITZ_HATCHERY_SPRING",NA,7
"Low Col.","SANDY_RIVER","Willamette Spring Hatchery",4
"Low Col.","SANTIAM_RIVER_North","Willamette Spring Hatchery",2
"North Puget","NOOKSACK_RIVER","Samish",8
"North Puget","SKAGIT_RIVER","Skagit Summer Fall",2
"South Puget","GREEN_RIVER","South Puget Sound",13
"South Puget","GREEN_RIVER-Kendal","South Puget Sound",1
"South Puget","SKYKOMISH_RIVER","Skykomish",6
"South Puget","SNOHOMISH_RIVER","Stillaguamish",23
"South Puget","SOOS_CREEK","South Puget Sound",112
"South Puget","WHITE_RIVER","South Puget Sound",2
"Up Col.","DESCHUTES_RIVER","Columbia Upriver Brights",4
"Up Col.","HANFORD_REACH","Hanford Reach",38
"Up Col.","LYON'S_FERRY","Lyons Ferry",38
"Up Col.","OKANAGAN_RIVER","Similkameen",2
"Up Col.","SIMILKAMEEN","Similkameen",1
"Up Col.","WENATCHEE_RIVER","Columbia Summers",7
"WA_OR","EUCHRE_CREEK","Elk River ",3
"WA_OR","FORKS_CREEK_HATCHERY","Queets Fall",6
"WA_OR","HUNTER_CREEK","Elk River ",1
"WA_OR","NESTUCCA_RIVER_FALL","Salmon River",1
"WA_OR","TRASK_HATCHERY","Elk River ",2
"WA_OR","UMPQUA_SPRING",NA,6
"WCVI","ROBERTSON_CREEK","Robertson Creek",21
"WCVI","SAN_JUAN_RIVER","Robertson Creek",1
"WCVI","SOOKE_RIVER","Robertson Creek",2
"WCVI","THORNTON_CREEK","Robertson Creek",1
